,Xc,Yc,labels
0,-73.8173344018,40.7067640488,0
1,-73.9881282124,40.6598105251,1
2,-73.9164773897,40.8120780342,2
3,0.0,0.0,10
4,0.0,0.0,10
5,0.0,0.0,10
