,Xc,Yc,labels
0,-73.8125980809,40.7077152052,0
1,-73.9641635692,40.6810857407,1
2,-74.1312659932,40.5801062436,2
3,-73.9082612594,40.8206170602,3
4,0.0,0.0,10
5,0.0,0.0,10
