,Xe,Ye,labels
0,-73.9846784,40.7217311,1
1,-73.9655103,40.6813432,0
2,-73.9198004,40.7593484,1
3,-73.8864096,40.8300576,2
4,-73.7987143,40.7305892,3
5,-73.9022935,40.8627177,2
6,-73.9373965,40.7489156,1
7,-73.8979659,40.8840347,2
8,-73.9592778,40.6852168,0
9,-73.9057225,40.8589932,2
10,-73.8988727,40.8655829,2
11,-73.831183,40.746539,3
12,-73.7675188,40.7604922,3
13,-73.7835025,40.7483476,3
14,-73.8415215,40.6772785,3
15,-73.8483417,40.8203634,2
16,-73.9200454,40.8079057,2
17,-73.953369,40.699405,1
18,-73.9277733,40.8101066,2
19,-73.7438625,40.7290337,3
20,-73.8780642,40.872452,2
21,-73.8802991,40.84013,2
22,-73.9640339,40.6846667,0
23,-73.9579956,40.6943646,1
24,-73.9195931,40.661997,0
25,-73.7668897,40.7082004,3
26,-73.9444982,40.6245976,0
27,-73.9148433,40.8223063,2
28,-73.8339571,40.7571844,3
29,-73.9197524,40.8681135,2
30,-73.9463647,40.6957047,1
31,-73.8404669,40.6810813,3
32,-73.9385688,40.6988491,1
33,-73.8095931,40.7216488,3
34,-74.1207394,40.6038463,4
35,-73.9917874,40.7646844,1
36,-73.9137706,40.8387216,2
37,-73.9164098,40.82929,2
38,-74.1587617,40.6130061,4
39,-73.897569,40.829423,2
40,-73.9535506,40.5991464,0
41,-73.9588589,40.7095517,1
42,-73.9275386,40.6772496,0
43,-74.1618991,40.5952978,4
44,-73.757215,40.6579482,3
45,-73.8976472,40.7034147,1
46,-73.7711686,40.7582955,3
47,-73.7286233,40.7242998,3
48,-73.9517685,40.8129407,2
49,-73.925804,40.7457632,1
50,-73.7971441,40.69407,3
51,-73.7860479,40.7525381,3
52,-73.9932609,40.722355,1
53,-73.9220387,40.7529383,1
54,-73.9396792,40.6912192,1
55,-73.8270053,40.8863463,2
56,-73.7811617,40.7292122,3
57,-74.007232,40.7434703,1
58,-73.9007846,40.9120796,2
59,-73.9739824,40.7571804,1
60,-73.9527619,40.823264,2
61,-73.9296497,40.7607986,1
62,-73.8350092,40.8381061,2
63,-73.8218786,40.5820493,3
64,-73.9281805,40.6704292,0
65,-73.8079259,40.7017656,3
66,-73.9822776,40.6739992,0
67,-73.9175086,40.5608801,0
68,-73.9420758,40.688698,1
69,-73.9883031,40.6245143,0
70,-73.9605598,40.8158809,2
71,-73.9031114,40.8596525,2
72,-73.9514645,40.6898634,1
73,-73.9332342,40.6418947,0
74,-73.7932546,40.6854362,3
75,-73.9739824,40.7571804,1
76,-73.9774357,40.7495397,1
77,-73.7820802,40.7418481,3
78,-73.9122115,40.8507807,2
79,-73.7028364,40.7385117,3
80,-73.9854447,40.731659,1
81,-73.8509146,40.7104699,3
82,-73.9683844,40.7865943,1
83,-73.8208533,40.6891331,3
84,-73.9389165,40.7483702,1
85,-73.9833217,40.6936492,1
86,-73.9075311,40.8478155,2
87,-73.9725665,40.6017957,0
88,-73.8683079,40.8399962,2
89,-73.9179524,40.8061229,2
90,-73.7772287,40.6796533,3
91,-73.8641843,40.7497199,3
92,-73.9483121,40.5886288,0
93,-73.8916133,40.8209858,2
94,-73.9196986,40.8378751,2
95,-73.8893729,40.8733829,2
96,-73.7231521,40.7247341,3
97,-73.9781227,40.7457274,1
98,-73.9413524,40.8018664,2
99,-73.8966906,40.8319666,2
100,-73.8488335,40.6881494,3
101,-73.8924833,40.8438254,2
102,-73.7477573,40.7495375,3
103,-73.9194562,40.8351,2
104,-73.9005944,40.7126973,1
105,-73.90586,40.8435983,2
106,-73.8135422,40.6692218,3
107,-73.9811087,40.6515907,0
