,Xe,Ye,labels
0,-73.9846784,40.7217311,1
1,-73.9655103,40.6813432,1
2,-73.9198004,40.7593484,3
3,-73.8864096,40.8300576,3
4,-73.7987143,40.7305892,0
5,-73.9022935,40.8627177,3
6,-73.9373965,40.7489156,1
7,-73.8979659,40.8840347,3
8,-73.9592778,40.6852168,1
9,-73.9057225,40.8589932,3
10,-73.8988727,40.8655829,3
11,-73.831183,40.746539,0
12,-73.7675188,40.7604922,0
13,-73.7835025,40.7483476,0
14,-73.8415215,40.6772785,0
15,-73.8483417,40.8203634,3
16,-73.9200454,40.8079057,3
17,-73.953369,40.699405,1
18,-73.9277733,40.8101066,3
19,-73.7438625,40.7290337,0
20,-73.8780642,40.872452,3
21,-73.8802991,40.84013,3
22,-73.9640339,40.6846667,1
23,-73.9579956,40.6943646,1
24,-73.9195931,40.661997,1
25,-73.7668897,40.7082004,0
26,-73.9444982,40.6245976,1
27,-73.9148433,40.8223063,3
28,-73.8339571,40.7571844,0
29,-73.9197524,40.8681135,3
30,-73.9463647,40.6957047,1
31,-73.8404669,40.6810813,0
32,-73.9385688,40.6988491,1
33,-73.8095931,40.7216488,0
34,-74.1207394,40.6038463,2
35,-73.9917874,40.7646844,1
36,-73.9137706,40.8387216,3
37,-73.9164098,40.82929,3
38,-74.1587617,40.6130061,2
39,-73.897569,40.829423,3
40,-73.9535506,40.5991464,1
41,-73.9588589,40.7095517,1
42,-73.9275386,40.6772496,1
43,-74.1618991,40.5952978,2
44,-73.757215,40.6579482,0
45,-73.8976472,40.7034147,1
46,-73.7711686,40.7582955,0
47,-73.7286233,40.7242998,0
48,-73.9517685,40.8129407,3
49,-73.925804,40.7457632,1
50,-73.7971441,40.69407,0
51,-73.7860479,40.7525381,0
52,-73.9932609,40.722355,1
53,-73.9220387,40.7529383,3
54,-73.9396792,40.6912192,1
55,-73.8270053,40.8863463,3
56,-73.7811617,40.7292122,0
57,-74.007232,40.7434703,1
58,-73.9007846,40.9120796,3
59,-73.9739824,40.7571804,1
60,-73.9527619,40.823264,3
61,-73.9296497,40.7607986,3
62,-73.8350092,40.8381061,3
63,-73.8218786,40.5820493,0
64,-73.9281805,40.6704292,1
65,-73.8079259,40.7017656,0
66,-73.9822776,40.6739992,1
67,-73.9175086,40.5608801,1
68,-73.9420758,40.688698,1
69,-73.9883031,40.6245143,1
70,-73.9605598,40.8158809,3
71,-73.9031114,40.8596525,3
72,-73.9514645,40.6898634,1
73,-73.9332342,40.6418947,1
74,-73.7932546,40.6854362,0
75,-73.9739824,40.7571804,1
76,-73.9774357,40.7495397,1
77,-73.7820802,40.7418481,0
78,-73.9122115,40.8507807,3
79,-73.7028364,40.7385117,0
80,-73.9854447,40.731659,1
81,-73.8509146,40.7104699,0
82,-73.9683844,40.7865943,3
83,-73.8208533,40.6891331,0
84,-73.9389165,40.7483702,1
85,-73.9833217,40.6936492,1
86,-73.9075311,40.8478155,3
87,-73.9725665,40.6017957,1
88,-73.8683079,40.8399962,3
89,-73.9179524,40.8061229,3
90,-73.7772287,40.6796533,0
91,-73.8641843,40.7497199,0
92,-73.9483121,40.5886288,1
93,-73.8916133,40.8209858,3
94,-73.9196986,40.8378751,3
95,-73.8893729,40.8733829,3
96,-73.7231521,40.7247341,0
97,-73.9781227,40.7457274,1
98,-73.9413524,40.8018664,3
99,-73.8966906,40.8319666,3
100,-73.8488335,40.6881494,0
101,-73.8924833,40.8438254,3
102,-73.7477573,40.7495375,0
103,-73.9194562,40.8351,3
104,-73.9005944,40.7126973,1
105,-73.90586,40.8435983,3
106,-73.8135422,40.6692218,0
107,-73.9811087,40.6515907,1
108,-73.9722023,40.749824,1
109,-73.8551984,40.8422585,3
110,-73.9752435,40.6854052,1
111,-73.9193861,40.675213,1
112,-73.8925038,40.8422856,3
113,-73.7429766,40.660286,0
114,-73.8949555,40.7018972,1
115,-74.0917627,40.5900146,2
116,-73.9087858,40.7130582,1
117,-73.9346446,40.6550952,1
118,-73.9533541,40.6691137,1
119,-73.9477514,40.6610059,1
120,-73.9164642,40.6766464,1
121,-73.9819939,40.6834193,1
122,-73.9053253,40.81547,3
123,-73.8879967,40.8166622,3
124,-73.7435918,40.6962166,0
125,-74.162344,40.607948,2
126,-73.9313928,40.8137456,3
127,-73.990759,40.7609926,1
128,-73.8525973,40.7080347,0
129,-73.9129533,40.8142683,3
130,-73.7922882,40.7526127,0
131,-73.9092172,40.8518022,3
132,-73.9940342,40.6678494,1
133,-73.9285998,40.6659692,1
134,-73.9620415,40.6186183,1
135,-73.8779835,40.8395649,3
136,-73.873013,40.7663521,3
137,-73.9769016,40.6036878,1
138,-74.0029374,40.6588768,1
139,-73.8280091,40.6940516,0
140,-73.9624487,40.6631828,1
141,-73.8116913,40.6876692,0
142,-73.9977202,40.715356,1
143,-73.7420127,40.7072992,0
144,-73.9730215,40.5985185,1
145,-73.7888539,40.6825847,0
146,-73.8908669,40.7011029,1
147,-73.9450059,40.7079101,1
148,-73.8983008,40.6367364,1
149,-73.8531341,40.8949212,3
150,-73.9103518,40.8199479,3
151,-73.9991446,40.754584,1
152,-74.0071393,40.7538318,1
153,-74.0241544,40.6257805,1
154,-73.9903644,40.7192038,1
155,-73.8152441,40.7042012,0
156,-74.0833411,40.5755806,2
157,-73.949858,40.64439,1
158,-73.9942669,40.6445352,1
159,-73.9107635,40.6422446,1
160,-73.8823749,40.7289813,0
161,-73.9742167,40.5901115,1
162,-73.8974917,40.8420678,3
163,-73.9100022,40.6483539,1
164,-73.9535429,40.8120522,3
165,-73.9261433,40.8336278,3
166,-73.7611864,40.7134368,0
167,-73.8094845,40.7684769,0
168,-73.824216,40.6692276,0
169,-74.0055932,40.7381374,1
170,-73.9881767,40.7482897,1
171,-73.8285119,40.6892381,0
172,-73.9515055,40.8120074,3
173,-73.840351,40.7249673,0
174,-73.8977031,40.8456416,3
175,-73.9123973,40.6163899,1
176,-73.9985947,40.6425838,1
177,-73.8492907,40.5799915,0
178,-73.9010925,40.812181,3
179,-73.9514952,40.5882789,1
180,-73.8481873,40.6869052,0
181,-73.810322,40.6670811,0
182,-73.9843735,40.6835431,1
183,-73.9486777,40.8156923,3
184,-74.0275073,40.6321559,1
185,-73.8555803,40.7379289,0
186,-73.9856988,40.673975,1
187,-73.9765674,40.6219955,1
188,-73.9990364,40.749638,1
189,-73.8419873,40.695219,0
190,-73.8613162,40.671142,0
191,-73.9141134,40.6963988,1
192,-73.9799897,40.7175391,1
193,-73.8265417,40.7604644,0
194,-73.7932361,40.770469,0
195,-74.0083695,40.6052187,1
196,-74.0096671,40.7127234,1
197,-73.801159,40.7274946,0
198,-73.9834445,40.7220191,1
199,-73.942558,40.5935887,1
200,-73.882203,40.6853613,0
201,-73.9169189,40.8383342,3
202,-73.968775,40.5928687,1
203,-73.9707939,40.603519,1
204,-73.9385688,40.6988491,1
205,-73.7921066,40.6870481,0
206,-73.9533075,40.6585133,1
207,-73.831722,40.6860506,0
208,-73.8857889,40.7474405,3
209,-73.8101829,40.7007703,0
210,-73.8889763,40.7492579,3
211,-73.9167618,40.8165575,3
212,-73.827064,40.7025151,0
213,-73.9390758,40.6728262,1
214,-73.7597173,40.6686828,0
215,-73.9370159,40.6323121,1
216,-73.808896,40.7105999,0
217,-73.9370755,40.6646429,1
218,-73.8550641,40.6849433,0
219,-73.8678194,40.8585032,3
220,-73.8877892,40.8476168,3
221,-73.8350092,40.8381061,3
222,-73.9556973,40.7070418,1
223,-73.9699667,40.6091511,1
224,-73.9010217,40.8476674,3
225,-74.1373916,40.549593,2
226,-73.9472242,40.8308453,3
227,-73.9244048,40.5921838,1
228,-73.7137011,40.7361595,0
229,-73.9281084,40.8309969,3
230,-73.8464626,40.6873915,0
231,-73.8299221,40.8347557,3
232,-73.8776389,40.6811159,0
233,-73.8191619,40.6918944,0
234,-73.9769717,40.6509669,1
235,-73.7535377,40.6045677,0
236,-73.983365,40.7660449,1
237,-74.1666165,40.5507016,2
238,-73.9926041,40.7241363,1
239,-73.7718954,40.7653207,0
240,-73.7746985,40.6804855,0
241,-73.8935477,40.6552018,1
242,-73.8975005,40.7542804,3
243,-73.8045285,40.7214619,0
244,-74.2511652,40.5077835,2
245,-73.8652504,40.7472124,0
246,-73.9004277,40.8291511,3
247,-73.7830252,40.7331298,0
248,-73.8985392,40.9064593,3
249,-73.9602427,40.6572314,1
250,-73.9610281,40.5961601,1
251,-74.0170205,40.6076551,1
252,-73.7930302,40.7577549,0
253,-73.9130382,40.7133332,1
254,-73.7579368,40.6984023,0
255,-73.9804246,40.7598989,1
256,-73.7440177,40.6980181,0
257,-73.7897299,40.683783,0
258,-73.9436244,40.8103186,3
259,-73.7988972,40.6747663,0
260,-73.9648018,40.7599831,1
261,-73.7812662,40.6655171,0
262,-73.987748,40.7440655,1
263,-73.9374202,40.8043758,3
264,-73.8514458,40.6874117,0
265,-73.9564383,40.7431796,1
266,-74.0039544,40.7298565,1
267,-73.9575338,40.7116098,1
268,-74.1332986,40.5649742,2
269,-73.9504063,40.7066527,1
270,-73.9794708,40.7274668,1
271,-73.7139635,40.733882,0
272,-73.8716306,40.7306332,0
273,-73.8769367,40.713863,0
274,-73.9127392,40.8618642,3
275,-73.9480999,40.824563,3
276,-73.8500701,40.6898418,0
277,-73.9254873,40.8417709,3
278,-73.8106009,40.6996017,0
279,-73.9981373,40.7649043,1
280,-74.0006602,40.72084,1
281,-73.8371456,40.7079562,0
282,-73.8508783,40.6912455,0
283,-74.0157476,40.64656,1
284,-73.8201646,40.6877898,0
285,-73.8682432,40.7029703,0
286,-74.1782229,40.5998273,2
287,-73.7613336,40.6904688,0
288,-73.7380766,40.7048063,0
289,-73.977196,40.7643229,1
290,-73.8962127,40.8163185,3
291,-73.9441849,40.6847054,1
292,-73.8807926,40.8571285,3
293,-73.9534778,40.8019159,3
294,-73.9806585,40.7748523,3
295,-73.9890116,40.7187947,1
296,-73.8881227,40.8642556,3
297,-73.9214866,40.8201866,3
298,-73.9579119,40.8212926,3
299,-73.9483556,40.8163756,3
300,-73.9314554,40.6652326,1
301,-73.9046763,40.8726198,3
302,-73.8085366,40.6749968,0
303,-73.734299,40.6653167,0
304,-74.0312674,40.6373563,1
305,-73.9593451,40.7225346,1
306,-74.0227699,40.6434682,1
307,-74.0129631,40.7077715,1
308,-73.8097661,40.6837904,0
309,-73.8174912,40.7278784,0
310,-73.9586895,40.8024695,3
311,-73.92446,40.8234685,3
312,-73.9998413,40.7191932,1
313,-73.9940403,40.7203211,1
314,-73.9216199,40.7530285,3
315,-73.983731,40.7604566,1
316,-73.8749024,40.7252872,0
317,-73.7535377,40.6045677,0
318,-73.8652061,40.7066695,0
319,-73.8515433,40.8071846,3
320,-73.8770276,40.67046,0
321,-73.7956137,40.6886573,0
322,-73.8433267,40.6869371,0
323,-73.8435145,40.6760433,0
324,-73.9834455,40.7470979,1
325,-73.7797007,40.7706086,0
326,-74.0048448,40.7188527,1
327,-73.8847756,40.8742704,3
328,-73.9624155,40.7093526,1
329,-73.8937569,40.7297801,0
330,-73.8065882,40.7066326,0
331,-73.9745025,40.6807335,1
332,-74.1371002,40.6074868,2
333,-73.8840574,40.7345494,0
334,-73.9920525,40.6903454,1
335,-73.7711488,40.7598682,0
336,-73.8448746,40.6802804,0
337,-73.9809793,40.764222,1
338,-73.8772987,40.8287418,3
339,-73.8402102,40.7009367,0
340,-73.9592163,40.8093398,3
341,-73.9656248,40.6271557,1
342,-73.9707584,40.7833397,3
343,-73.9102326,40.7529763,3
344,-74.1588658,40.546255,2
345,-74.0014108,40.7310643,1
346,-73.904099,40.906862,3
347,-73.8124145,40.6728513,0
348,-73.9366568,40.6691002,1
349,-73.9610284,40.718967,1
350,-73.8371988,40.5798131,0
351,-73.978327,40.7831465,3
352,-73.9528011,40.7833091,3
353,-73.9935606,40.7571447,1
354,-73.9969136,40.7627496,1
355,-73.8475793,40.6815795,0
356,-73.877903,40.7455907,0
357,-73.9015367,40.8171576,3
358,-73.9672844,40.6147717,1
359,-73.9339794,40.7628268,3
360,-73.9672844,40.6147717,1
361,-74.0016846,40.715743,1
362,-73.9414991,40.6144102,1
363,-73.9087095,40.8240665,3
364,-73.9189434,40.8644625,3
365,-73.9672897,40.7070018,1
366,-73.8249611,40.6902483,0
367,-73.8096216,40.5853756,0
368,-73.9998484,40.7434239,1
369,-73.9182933,40.6873579,1
370,-73.8968799,40.9010398,3
371,-74.006972,40.7416259,1
372,-74.0163429,40.649656,1
373,-73.9641058,40.5979864,1
374,-74.0228769,40.619465,1
375,-73.8505618,40.6876631,0
376,-73.7808302,40.7576089,0
377,-73.8366662,40.6916132,0
378,-73.9534701,40.7302699,1
379,-73.9465889,40.7849422,3
380,-73.8611867,40.7419843,0
381,-74.0042282,40.6091961,1
382,-73.9917667,40.6108455,1
383,-73.8565704,40.6970634,0
384,-74.0119074,40.6332345,1
385,-73.9201276,40.6611218,1
386,-73.9903644,40.7192038,1
387,-73.8118641,40.6916302,0
388,-73.9167861,40.7711542,3
389,-73.9926328,40.7584292,1
390,-73.9941184,40.735313,1
391,-73.8810573,40.8465946,3
392,-73.8887453,40.8357057,3
393,-73.9416404,40.7082295,1
394,-73.9341933,40.8531997,3
395,-73.9424349,40.7906273,3
396,-73.8490528,40.8668213,3
397,-73.9263299,40.7140452,1
398,-73.9490836,40.7243366,1
399,-73.9319581,40.7519729,3
400,-73.8829986,40.7477341,3
401,-73.8460253,40.7096894,0
402,-73.9144963,40.8055605,3
403,-73.9536697,40.8220183,3
404,-73.8958512,40.7402725,3
405,-73.973995,40.6140296,1
406,-73.9052567,40.7063609,1
407,-73.9610935,40.6940116,1
408,-74.1698275,40.5610915,2
409,-73.9030285,40.6586411,1
410,-73.9360965,40.7497328,1
411,-73.9199722,40.8387151,3
412,-73.9272684,40.8655357,3
413,-73.7388964,40.7708308,0
414,-73.9599419,40.5819581,1
415,-74.1232539,40.6354939,2
416,-73.9236232,40.8442372,3
417,-73.9975038,40.7140687,1
418,-73.8682359,40.8380144,3
419,-73.958983,40.683751,1
420,-73.9240394,40.714008,1
421,-73.7653967,40.7183558,0
422,-73.9520352,40.803897,3
423,-73.9278576,40.8356216,3
424,-73.9821185,40.7697419,3
425,-73.9906233,40.7509908,1
426,-73.8149753,40.6866946,0
427,-73.9130865,40.8450614,3
428,-73.7748639,40.6870157,0
429,-73.9769843,40.7501572,1
430,-73.9250605,40.7650967,3
431,-73.9311566,40.8116183,3
432,-73.9700187,40.6217937,1
433,-73.9250605,40.7650967,3
434,-73.923475,40.8254139,3
435,-73.9696243,40.7602507,1
436,-73.8431812,40.6721508,0
437,-73.8891676,40.8186175,3
438,-74.151122,40.6112625,2
439,-73.8251765,40.7029926,0
440,-73.9046251,40.6411033,1
441,-73.8411361,40.6952837,0
442,-74.0085552,40.7333997,1
443,-73.8764186,40.7481417,0
444,-73.92624,40.6584196,1
445,-73.8264479,40.6773199,0
446,-73.8515685,40.7505168,0
447,-73.949118,40.6130524,1
448,-73.8867166,40.7473426,3
449,-73.8311197,40.7615472,0
450,-73.9830482,40.6774056,1
451,-73.9348672,40.6300903,1
452,-73.9543925,40.8006591,3
453,-73.9480158,40.6362673,1
454,-73.9237498,40.6643768,1
455,-74.0858762,40.5958903,2
456,-73.9242798,40.8071867,3
457,-73.9299991,40.6481811,1
458,-73.7381408,40.6581534,0
459,-73.9976715,40.7655301,1
460,-73.7629686,40.7133746,0
461,-73.9189307,40.6405845,1
462,-73.7302369,40.6510069,0
463,-73.7731225,40.670022,0
464,-73.9649031,40.7047614,1
465,-74.1025283,40.6346633,2
466,-74.0274902,40.6169854,1
467,-73.9038236,40.7746848,3
468,-73.7833817,40.7577537,0
469,-73.8999552,40.8574211,3
470,-73.9787596,40.6837645,1
471,-73.9856891,40.6856595,1
472,-73.7442823,40.7653588,0
473,-73.8988727,40.8655829,3
474,-73.9451224,40.6364471,1
475,-73.7671284,40.6666971,0
476,-74.1403235,40.5646447,2
477,-73.8048788,40.7250499,0
478,-73.9186251,40.8291077,3
479,-73.879277,40.7481228,0
480,-73.8628071,40.7577576,0
481,-73.9220058,40.654629,1
482,-73.9405567,40.72223,1
483,-73.9522587,40.7339885,1
484,-73.881575,40.6390535,1
485,-73.9494609,40.8309615,3
486,-73.9900681,40.7466595,1
487,-74.0096287,40.6216352,1
488,-73.8228717,40.6908407,0
489,-73.9855364,40.7579729,1
490,-74.135748,40.5588504,2
491,-73.8488335,40.6881494,0
492,-73.8340437,40.6905527,0
493,-73.8371654,40.6968646,0
494,-73.7633036,40.7155354,0
495,-73.876252,40.7484379,0
496,-73.9802186,40.6150052,1
497,-73.8384174,40.6728276,0
